in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 00
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = a0
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f9
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9f
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 0a
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = a0
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 1b
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = b1
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = a6
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 6a
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = b7
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7b
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = c8
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8c
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d9
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9d
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = b7
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7b
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = c8
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8c
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d9
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9d
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = ea
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = ae
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = c8
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8c
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d9
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9d
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = ea
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = ae
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = fb
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = bf
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d9
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9d
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = ea
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = ae
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = fb
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = bf
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 0c
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = c0
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 00
